"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"15","0.024131007","172.16.10.9","172.16.20.9","TCP","2962","0.001600760","5004  >  57968 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=2896 TSval=2165895009 TSecr=3655876397 [TCP segment of a reassembled PDU]"
"31","0.067445202","172.16.10.9","172.16.20.9","TCP","2962","0.007516445","5004  >  57968 [PSH, ACK] Seq=2897 Ack=1 Win=85 Len=2896 TSval=2165895047 TSecr=3655876435 [TCP segment of a reassembled PDU]"
"66","0.121935748","172.16.10.9","172.16.20.9","TCP","2962","0.001739100","5004  >  57968 [PSH, ACK] Seq=5793 Ack=1 Win=85 Len=2896 TSval=2165895115 TSecr=3655876503 [TCP segment of a reassembled PDU]"
"81","0.161167973","172.16.10.9","172.16.20.9","TCP","2962","0.001190983","5004  >  57968 [PSH, ACK] Seq=8689 Ack=1 Win=85 Len=2896 TSval=2165895158 TSecr=3655876546 [TCP segment of a reassembled PDU]"
"117","0.232112290","172.16.10.9","172.16.20.9","TCP","2962","0.001749691","5004  >  57968 [PSH, ACK] Seq=11585 Ack=1 Win=85 Len=2896 TSval=2165895213 TSecr=3655876601 [TCP segment of a reassembled PDU]"
"132","0.256759729","172.16.10.9","172.16.20.9","TCP","2962","0.003974779","5004  >  57968 [PSH, ACK] Seq=14481 Ack=1 Win=85 Len=2896 TSval=2165895252 TSecr=3655876640 [TCP segment of a reassembled PDU]"
"168","0.317133824","172.16.10.9","172.16.20.9","TCP","2962","0.001194054","5004  >  57968 [PSH, ACK] Seq=17377 Ack=1 Win=85 Len=2896 TSval=2165895323 TSecr=3655876711 [TCP segment of a reassembled PDU]"
"183","0.343151425","172.16.10.9","172.16.20.9","TCP","2962","0.001584327","5004  >  57968 [PSH, ACK] Seq=20273 Ack=1 Win=85 Len=2896 TSval=2165895348 TSecr=3655876736 [TCP segment of a reassembled PDU]"
"219","0.407489843","172.16.10.9","172.16.20.9","TCP","2962","0.001149407","5004  >  57968 [PSH, ACK] Seq=23169 Ack=1 Win=85 Len=2896 TSval=2165895408 TSecr=3655876796 [TCP segment of a reassembled PDU]"
"234","0.433526766","172.16.10.9","172.16.20.9","TCP","2962","0.000000586","5004  >  57968 [PSH, ACK] Seq=26065 Ack=1 Win=85 Len=2896 TSval=2165895434 TSecr=3655876822 [TCP segment of a reassembled PDU]"
"270","0.491923827","172.16.10.9","172.16.20.9","TCP","2962","0.002095498","5004  >  57968 [PSH, ACK] Seq=28961 Ack=1 Win=85 Len=2896 TSval=2165895498 TSecr=3655876886 [TCP segment of a reassembled PDU]"
"284","0.517562882","172.16.10.9","172.16.20.9","TCP","2962","0.002746893","5004  >  57968 [PSH, ACK] Seq=31857 Ack=1 Win=85 Len=2896 TSval=2165895525 TSecr=3655876912 [TCP segment of a reassembled PDU]"
"321","0.594627042","172.16.10.9","172.16.20.9","TCP","2962","0.000864813","5004  >  57968 [PSH, ACK] Seq=34753 Ack=1 Win=85 Len=2896 TSval=2165895583 TSecr=3655876970 [TCP segment of a reassembled PDU]"
"335","0.625217924","172.16.10.9","172.16.20.9","TCP","2962","0.002774205","5004  >  57968 [PSH, ACK] Seq=37649 Ack=1 Win=85 Len=2896 TSval=2165895608 TSecr=3655876996 [TCP segment of a reassembled PDU]"
"371","0.682664920","172.16.10.9","172.16.20.9","TCP","2962","0.001349442","5004  >  57968 [PSH, ACK] Seq=40545 Ack=1 Win=85 Len=2896 TSval=2165895685 TSecr=3655877073 [TCP segment of a reassembled PDU]"
"386","0.705361857","172.16.10.9","172.16.20.9","TCP","2962","0.001916173","5004  >  57968 [PSH, ACK] Seq=43441 Ack=1 Win=85 Len=2896 TSval=2165895716 TSecr=3655877104 [TCP segment of a reassembled PDU]"
"422","0.761141647","172.16.10.9","172.16.20.9","TCP","2962","0.000000222","5004  >  57968 [PSH, ACK] Seq=46337 Ack=1 Win=85 Len=2896 TSval=2165895773 TSecr=3655877161 [TCP segment of a reassembled PDU]"
"437","0.793187345","172.16.10.9","172.16.20.9","TCP","2962","0.001821862","5004  >  57968 [PSH, ACK] Seq=49233 Ack=1 Win=85 Len=2896 TSval=2165895796 TSecr=3655877184 [TCP segment of a reassembled PDU]"
"472","0.856839079","172.16.10.9","172.16.20.9","TCP","2962","0.000766287","5004  >  57968 [PSH, ACK] Seq=52129 Ack=1 Win=85 Len=2896 TSval=2165895852 TSecr=3655877240 [TCP segment of a reassembled PDU]"
"488","0.884852086","172.16.10.9","172.16.20.9","TCP","2962","0.000000302","5004  >  57968 [PSH, ACK] Seq=55025 Ack=1 Win=85 Len=2896 TSval=2165895884 TSecr=3655877272 [TCP segment of a reassembled PDU]"
"523","0.937569250","172.16.10.9","172.16.20.9","TCP","2962","0.000769569","5004  >  57968 [PSH, ACK] Seq=57921 Ack=1 Win=85 Len=2896 TSval=2165895948 TSecr=3655877335 [TCP segment of a reassembled PDU]"
"539","0.961574166","172.16.10.9","172.16.20.9","TCP","2962","0.001365639","5004  >  57968 [PSH, ACK] Seq=60817 Ack=1 Win=85 Len=2896 TSval=2165895975 TSecr=3655877363 [TCP segment of a reassembled PDU]"
"574","1.019855677","172.16.10.9","172.16.20.9","TCP","2962","0.001434929","5004  >  57968 [PSH, ACK] Seq=63713 Ack=1 Win=85 Len=2896 TSval=2165896028 TSecr=3655877416 [TCP segment of a reassembled PDU]"
"590","1.053370684","172.16.10.9","172.16.20.9","TCP","2962","0.007705293","5004  >  57968 [PSH, ACK] Seq=66609 Ack=1 Win=85 Len=2896 TSval=2165896052 TSecr=3655877440 [TCP segment of a reassembled PDU]"
"625","1.120387595","172.16.10.9","172.16.20.9","TCP","2962","0.015660510","5004  >  57968 [PSH, ACK] Seq=69505 Ack=1 Win=85 Len=2896 TSval=2165896111 TSecr=3655877499 [TCP segment of a reassembled PDU]"
"639","1.158172757","172.16.10.9","172.16.20.9","TCP","2962","0.001327194","5004  >  57968 [PSH, ACK] Seq=72401 Ack=1 Win=85 Len=2896 TSval=2165896145 TSecr=3655877532 [TCP segment of a reassembled PDU]"
"676","1.229110430","172.16.10.9","172.16.20.9","TCP","2962","0.001361841","5004  >  57968 [PSH, ACK] Seq=75297 Ack=1 Win=85 Len=2896 TSval=2165896221 TSecr=3655877609 [TCP segment of a reassembled PDU]"
"690","1.265978493","172.16.10.9","172.16.20.9","TCP","2962","0.002013134","5004  >  57968 [PSH, ACK] Seq=78193 Ack=1 Win=85 Len=2896 TSval=2165896249 TSecr=3655877637 [TCP segment of a reassembled PDU]"
"727","1.325541425","172.16.10.9","172.16.20.9","TCP","2962","0.001336394","5004  >  57968 [PSH, ACK] Seq=81089 Ack=1 Win=85 Len=2896 TSval=2165896320 TSecr=3655877708 [TCP segment of a reassembled PDU]"
"741","1.356629734","172.16.10.9","172.16.20.9","TCP","2962","0.003890806","5004  >  57968 [PSH, ACK] Seq=83985 Ack=1 Win=85 Len=2896 TSval=2165896357 TSecr=3655877744 [TCP segment of a reassembled PDU]"
"778","1.415971582","172.16.10.9","172.16.20.9","TCP","2962","0.000697513","5004  >  57968 [PSH, ACK] Seq=86881 Ack=1 Win=85 Len=2896 TSval=2165896416 TSecr=3655877804 [TCP segment of a reassembled PDU]"
"792","1.441664942","172.16.10.9","172.16.20.9","TCP","2962","0.001981928","5004  >  57968 [PSH, ACK] Seq=89777 Ack=1 Win=85 Len=2896 TSval=2165896448 TSecr=3655877836 [TCP segment of a reassembled PDU]"
"829","1.503231483","172.16.10.9","172.16.20.9","TCP","2962","0.001571916","5004  >  57968 [PSH, ACK] Seq=92673 Ack=1 Win=85 Len=2896 TSval=2165896507 TSecr=3655877895 [TCP segment of a reassembled PDU]"
"843","1.527301788","172.16.10.9","172.16.20.9","TCP","2962","0.002422559","5004  >  57968 [PSH, ACK] Seq=95569 Ack=1 Win=85 Len=2896 TSval=2165896532 TSecr=3655877920 [TCP segment of a reassembled PDU]"
"880","1.607163022","172.16.10.9","172.16.20.9","TCP","2962","0.002570559","5004  >  57968 [PSH, ACK] Seq=98465 Ack=1 Win=85 Len=2896 TSval=2165896594 TSecr=3655877982 [TCP segment of a reassembled PDU]"
"894","1.628732463","172.16.10.9","172.16.20.9","TCP","2962","0.001582113","5004  >  57968 [PSH, ACK] Seq=101361 Ack=1 Win=85 Len=2896 TSval=2165896618 TSecr=3655878006 [TCP segment of a reassembled PDU]"
"931","1.701610411","172.16.10.9","172.16.20.9","TCP","2962","0.001645278","5004  >  57968 [PSH, ACK] Seq=104257 Ack=1 Win=85 Len=2896 TSval=2165896699 TSecr=3655878087 [TCP segment of a reassembled PDU]"
"945","1.723652305","172.16.10.9","172.16.20.9","TCP","2962","0.000000317","5004  >  57968 [PSH, ACK] Seq=107153 Ack=1 Win=85 Len=2896 TSval=2165896722 TSecr=3655878109 [TCP segment of a reassembled PDU]"
"982","1.784425287","172.16.10.9","172.16.20.9","TCP","2962","0.001814225","5004  >  57968 [PSH, ACK] Seq=110049 Ack=1 Win=85 Len=2896 TSval=2165896792 TSecr=3655878180 [TCP segment of a reassembled PDU]"
"995","1.817933585","172.16.10.9","172.16.20.9","TCP","2962","0.001822580","5004  >  57968 [PSH, ACK] Seq=112945 Ack=1 Win=85 Len=2896 TSval=2165896822 TSecr=3655878210 [TCP segment of a reassembled PDU]"
"1033","1.877229700","172.16.10.9","172.16.20.9","TCP","2962","0.002413001","5004  >  57968 [PSH, ACK] Seq=115841 Ack=1 Win=85 Len=2896 TSval=2165896875 TSecr=3655878263 [TCP segment of a reassembled PDU]"
"1046","1.898740447","172.16.10.9","172.16.20.9","TCP","2962","0.000000218","5004  >  57968 [PSH, ACK] Seq=118737 Ack=1 Win=85 Len=2896 TSval=2165896909 TSecr=3655878297 [TCP segment of a reassembled PDU]"
"1083","1.956975058","172.16.10.9","172.16.20.9","TCP","2962","0.001541468","5004  >  57968 [PSH, ACK] Seq=121633 Ack=1 Win=85 Len=2896 TSval=2165896968 TSecr=3655878356 [TCP segment of a reassembled PDU]"
"1096","2.002833820","172.16.10.9","172.16.20.9","TCP","2962","0.001254518","5004  >  57968 [PSH, ACK] Seq=124529 Ack=1 Win=85 Len=2896 TSval=2165896993 TSecr=3655878380 [TCP segment of a reassembled PDU]"
"1134","2.108537194","172.16.10.9","172.16.20.9","TCP","2962","0.019310076","5004  >  57968 [PSH, ACK] Seq=127425 Ack=1 Win=85 Len=2896 TSval=2165897048 TSecr=3655878435 [TCP segment of a reassembled PDU]"
"1147","2.140060231","172.16.10.9","172.16.20.9","TCP","2962","0.009731291","5004  >  57968 [PSH, ACK] Seq=130321 Ack=1 Win=85 Len=2896 TSval=2165897094 TSecr=3655878481 [TCP segment of a reassembled PDU]"
"1185","2.221869560","172.16.10.9","172.16.20.9","TCP","2962","0.000000285","5004  >  57968 [PSH, ACK] Seq=133217 Ack=1 Win=85 Len=2896 TSval=2165897199 TSecr=3655878587 [TCP segment of a reassembled PDU]"
"1198","2.243200684","172.16.10.9","172.16.20.9","TCP","2962","0.001314474","5004  >  57968 [PSH, ACK] Seq=136113 Ack=1 Win=85 Len=2896 TSval=2165897231 TSecr=3655878619 [TCP segment of a reassembled PDU]"
"1232","2.305792766","172.16.10.9","172.16.20.9","TCP","2962","0.001190016","5004  >  57968 [PSH, ACK] Seq=139009 Ack=1 Win=85 Len=2896 TSval=2165897313 TSecr=3655878701 [TCP segment of a reassembled PDU]"
"1249","2.335868123","172.16.10.9","172.16.20.9","TCP","2962","0.001899344","5004  >  57968 [PSH, ACK] Seq=141905 Ack=1 Win=85 Len=2896 TSval=2165897334 TSecr=3655878722 [TCP segment of a reassembled PDU]"
