"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"11","0.020689325","172.16.20.1","172.16.20.9","TCP","2962","0.000000881","5004  >  54680 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=2896 TSval=2122170931 TSecr=3181267799"
"15","0.028018589","172.16.20.1","172.16.20.9","TCP","2962","0.000000580","5004  >  54680 [PSH, ACK] Seq=2897 Ack=1 Win=85 Len=2896 TSval=2122170937 TSecr=3181267805"
"61","0.133356441","172.16.20.1","172.16.20.9","TCP","2962","0.010008584","5004  >  54680 [PSH, ACK] Seq=5793 Ack=1 Win=85 Len=2896 TSval=2122171035 TSecr=3181267903"
"65","0.138651451","172.16.20.1","172.16.20.9","TCP","2962","0.002267844","5004  >  54680 [PSH, ACK] Seq=8689 Ack=1 Win=85 Len=2896 TSval=2122171043 TSecr=3181267911"
"112","0.227884440","172.16.20.1","172.16.20.9","TCP","2962","0.003347343","5004  >  54680 [PSH, ACK] Seq=11585 Ack=1 Win=85 Len=2896 TSval=2122171147 TSecr=3181268015"
"116","0.232962464","172.16.20.1","172.16.20.9","TCP","2962","0.001883174","5004  >  54680 [PSH, ACK] Seq=14481 Ack=1 Win=85 Len=2896 TSval=2122171152 TSecr=3181268020"
"163","0.331958684","172.16.20.1","172.16.20.9","TCP","2962","0.000053489","5004  >  54680 [PSH, ACK] Seq=17377 Ack=1 Win=85 Len=2896 TSval=2122171242 TSecr=3181268110"
"167","0.338155870","172.16.20.1","172.16.20.9","TCP","2962","0.001563873","5004  >  54680 [PSH, ACK] Seq=20273 Ack=1 Win=85 Len=2896 TSval=2122171249 TSecr=3181268115"
"213","0.407708502","172.16.20.1","172.16.20.9","TCP","2962","0.000860625","5004  >  54680 [PSH, ACK] Seq=23169 Ack=1 Win=85 Len=2896 TSval=2122171346 TSecr=3181268214"
"218","0.419616601","172.16.20.1","172.16.20.9","TCP","2962","0.001511698","5004  >  54680 [PSH, ACK] Seq=26065 Ack=1 Win=85 Len=2896 TSval=2122171352 TSecr=3181268220"
"264","0.491548529","172.16.20.1","172.16.20.9","TCP","2962","0.001393359","5004  >  54680 [PSH, ACK] Seq=28961 Ack=1 Win=85 Len=2896 TSval=2122171422 TSecr=3181268290"
"269","0.501513451","172.16.20.1","172.16.20.9","TCP","2962","0.001506671","5004  >  54680 [PSH, ACK] Seq=31857 Ack=1 Win=85 Len=2896 TSval=2122171433 TSecr=3181268301"
"314","0.577327081","172.16.20.1","172.16.20.9","TCP","2962","0.001771852","5004  >  54680 [PSH, ACK] Seq=34753 Ack=1 Win=85 Len=2896 TSval=2122171506 TSecr=3181268373"
"320","0.586112166","172.16.20.1","172.16.20.9","TCP","2962","0.000916625","5004  >  54680 [PSH, ACK] Seq=37649 Ack=1 Win=85 Len=2896 TSval=2122171515 TSecr=3181268383"
"365","0.656145572","172.16.20.1","172.16.20.9","TCP","2962","0.001674075","5004  >  54680 [PSH, ACK] Seq=40545 Ack=1 Win=85 Len=2896 TSval=2122171591 TSecr=3181268459"
"371","0.666807622","172.16.20.1","172.16.20.9","TCP","2962","0.000000414","5004  >  54680 [PSH, ACK] Seq=43441 Ack=1 Win=85 Len=2896 TSval=2122171600 TSecr=3181268468"
"416","0.759826497","172.16.20.1","172.16.20.9","TCP","2962","0.007970938","5004  >  54680 [PSH, ACK] Seq=46337 Ack=1 Win=85 Len=2896 TSval=2122171673 TSecr=3181268541"
"421","0.765854778","172.16.20.1","172.16.20.9","TCP","2962","0.001500553","5004  >  54680 [PSH, ACK] Seq=49233 Ack=1 Win=85 Len=2896 TSval=2122171681 TSecr=3181268549"
"467","0.836427845","172.16.20.1","172.16.20.9","TCP","2962","0.001479350","5004  >  54680 [PSH, ACK] Seq=52129 Ack=1 Win=85 Len=2896 TSval=2122171774 TSecr=3181268642"
"472","0.843779282","172.16.20.1","172.16.20.9","TCP","2962","0.000858735","5004  >  54680 [PSH, ACK] Seq=55025 Ack=1 Win=85 Len=2896 TSval=2122171780 TSecr=3181268648"
"518","0.917120483","172.16.20.1","172.16.20.9","TCP","2962","0.000982067","5004  >  54680 [PSH, ACK] Seq=57921 Ack=1 Win=85 Len=2896 TSval=2122171850 TSecr=3181268718"
"523","0.924498547","172.16.20.1","172.16.20.9","TCP","2962","0.001257823","5004  >  54680 [PSH, ACK] Seq=60817 Ack=1 Win=85 Len=2896 TSval=2122171858 TSecr=3181268726"
"569","0.999808716","172.16.20.1","172.16.20.9","TCP","2962","0.001744019","5004  >  54680 [PSH, ACK] Seq=63713 Ack=1 Win=85 Len=2896 TSval=2122171931 TSecr=3181268799"
"574","1.006959184","172.16.20.1","172.16.20.9","TCP","2962","0.001026870","5004  >  54680 [PSH, ACK] Seq=66609 Ack=1 Win=85 Len=2896 TSval=2122171938 TSecr=3181268806"
"620","1.101086105","172.16.20.1","172.16.20.9","TCP","2962","0.008200396","5004  >  54680 [PSH, ACK] Seq=69505 Ack=1 Win=85 Len=2896 TSval=2122172014 TSecr=3181268882"
"625","1.108074124","172.16.20.1","172.16.20.9","TCP","2962","0.000000220","5004  >  54680 [PSH, ACK] Seq=72401 Ack=1 Win=85 Len=2896 TSval=2122172021 TSecr=3181268889"
"670","1.185125888","172.16.20.1","172.16.20.9","TCP","2962","0.001415448","5004  >  54680 [PSH, ACK] Seq=75297 Ack=1 Win=85 Len=2896 TSval=2122172115 TSecr=3181268983"
"675","1.192961636","172.16.20.1","172.16.20.9","TCP","2962","0.001182009","5004  >  54680 [PSH, ACK] Seq=78193 Ack=1 Win=85 Len=2896 TSval=2122172122 TSecr=3181268990"
"721","1.266107605","172.16.20.1","172.16.20.9","TCP","2962","0.000000277","5004  >  54680 [PSH, ACK] Seq=81089 Ack=1 Win=85 Len=2896 TSval=2122172199 TSecr=3181269067"
"726","1.274204473","172.16.20.1","172.16.20.9","TCP","2962","0.001414324","5004  >  54680 [PSH, ACK] Seq=83985 Ack=1 Win=85 Len=2896 TSval=2122172207 TSecr=3181269075"
"771","1.358575338","172.16.20.1","172.16.20.9","TCP","2962","0.002368513","5004  >  54680 [PSH, ACK] Seq=86881 Ack=1 Win=85 Len=2896 TSval=2122172280 TSecr=3181269148"
"777","1.366544278","172.16.20.1","172.16.20.9","TCP","2962","0.001531052","5004  >  54680 [PSH, ACK] Seq=89777 Ack=1 Win=85 Len=2896 TSval=2122172288 TSecr=3181269156"
