"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"1","0.000000000","172.16.20.1","172.16.20.9","TCP","10066","0.000000000","5004  >  36330 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=10000 TSval=2121619322 TSecr=3180715968"
"3","0.010358223","172.16.20.1","172.16.20.9","TCP","10066","0.010224729","5004  >  36330 [PSH, ACK] Seq=10001 Ack=1 Win=85 Len=10000 TSval=2121619323 TSecr=3180716190"
"5","0.019445962","172.16.20.1","172.16.20.9","TCP","2101","0.009064129","5004  >  36330 [PSH, ACK] Seq=20001 Ack=1 Win=85 Len=2035 TSval=2121619333 TSecr=3180716201"
"7","0.064254259","172.16.20.1","172.16.20.9","TCP","6151","0.044776953","5004  >  36330 [PSH, ACK] Seq=22036 Ack=1 Win=85 Len=6085 TSval=2121619387 TSecr=3180716210"
"9","0.236804621","172.16.20.1","172.16.20.9","TCP","10066","0.172531823","5004  >  36330 [PSH, ACK] Seq=28121 Ack=1 Win=85 Len=10000 TSval=2121619559 TSecr=3180716255"
"11","0.246250320","172.16.20.1","172.16.20.9","TCP","10066","0.009429120","5004  >  36330 [PSH, ACK] Seq=38121 Ack=1 Win=85 Len=10000 TSval=2121619560 TSecr=3180716427"
"13","0.256660358","172.16.20.1","172.16.20.9","TCP","11650","0.010385430","5004  >  36330 [PSH, ACK] Seq=48121 Ack=1 Win=85 Len=11584 TSval=2121619560 TSecr=3180716427"
"15","0.269131612","172.16.20.1","172.16.20.9","TCP","7306","0.012440098","5004  >  36330 [PSH, ACK] Seq=59705 Ack=1 Win=85 Len=7240 TSval=2121619569 TSecr=3180716437"
"17","0.276213808","172.16.20.1","172.16.20.9","TCP","14546","0.007058034","5004  >  36330 [PSH, ACK] Seq=66945 Ack=1 Win=85 Len=14480 TSval=2121619569 TSecr=3180716437"
"19","0.291369097","172.16.20.1","172.16.20.9","TCP","14546","0.015092926","5004  >  36330 [PSH, ACK] Seq=81425 Ack=1 Win=85 Len=14480 TSval=2121619579 TSecr=3180716447"
"21","0.306220430","172.16.20.1","172.16.20.9","TCP","11650","0.014828365","5004  >  36330 [PSH, ACK] Seq=95905 Ack=1 Win=85 Len=11584 TSval=2121619599 TSecr=3180716467"
