"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"12","101.095725714","172.16.10.9","172.16.20.9","TCP","74","0.000508334","5004  >  39686 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2165669531 TSecr=3655650919 WS=512"
"15","101.095843663","172.16.10.9","172.16.20.9","TCP","66","0.000015609","5004  >  39686 [ACK] Seq=1 Ack=137 Win=43520 Len=0 TSval=2165669532 TSecr=3655650920"
"16","101.118206637","172.16.10.9","172.16.20.9","TCP","169","0.022362974","5004  >  39686 [PSH, ACK] Seq=1 Ack=137 Win=43520 Len=103 TSval=2165669554 TSecr=3655650920 [TCP segment of a reassembled PDU]"
"18","101.118404705","172.16.10.9","172.16.20.9","TCP","463","0.000168261","5004  >  39686 [PSH, ACK] Seq=104 Ack=137 Win=43520 Len=397 TSval=2165669554 TSecr=3655650942 [TCP segment of a reassembled PDU]"
"22","109.220461756","172.16.10.9","172.16.20.9","TCP","7306","2.943650956","5004  >  39686 [PSH, ACK] Seq=501 Ack=137 Win=43520 Len=7240 TSval=2165677656 TSecr=3655650942 [TCP segment of a reassembled PDU]"
"24","109.228991505","172.16.10.9","172.16.20.9","TCP","2826","0.008132452","5004  >  39686 [PSH, ACK] Seq=7741 Ack=137 Win=43520 Len=2760 TSval=2165677656 TSecr=3655650942 [TCP segment of a reassembled PDU]"
"26","109.231840174","172.16.10.9","172.16.20.9","TCP","8754","0.002823025","5004  >  39686 [PSH, ACK] Seq=10501 Ack=137 Win=43520 Len=8688 TSval=2165677657 TSecr=3655659044 [TCP segment of a reassembled PDU]"
"28","109.239604002","172.16.10.9","172.16.20.9","TCP","10202","0.007733617","5004  >  39686 [PSH, ACK] Seq=19189 Ack=137 Win=43520 Len=10136 TSval=2165677657 TSecr=3655659044 [TCP segment of a reassembled PDU]"
"30","109.250368028","172.16.10.9","172.16.20.9","TCP","5858","0.010733825","5004  >  39686 [PSH, ACK] Seq=29325 Ack=137 Win=43520 Len=5792 TSval=2165677665 TSecr=3655659053 [TCP segment of a reassembled PDU]"
"32","109.257312088","172.16.10.9","172.16.20.9","TCP","14546","0.006921318","5004  >  39686 [PSH, ACK] Seq=35117 Ack=137 Win=43520 Len=14480 TSval=2165677668 TSecr=3655659056 [TCP segment of a reassembled PDU]"
"34","109.271408695","172.16.10.9","172.16.20.9","TCP","18194","0.014072224","5004  >  39686 [PSH, ACK] Seq=49597 Ack=137 Win=43520 Len=18128 TSval=2165677676 TSecr=3655659063 [TCP segment of a reassembled PDU]"
"36","109.293997043","172.16.10.9","172.16.20.9","TCP","1514","0.022493562","5004  >  39686 [ACK] Seq=67725 Ack=137 Win=43520 Len=1448 TSval=2165677707 TSecr=3655659095 [TCP segment of a reassembled PDU]"
"38","109.294627217","172.16.10.9","172.16.20.9","TCP","762","0.000605174","5004  >  39686 [ACK] Seq=69173 Ack=137 Win=43520 Len=696 TSval=2165677707 TSecr=3655659095 [TCP segment of a reassembled PDU]"
"40","109.298519375","172.16.10.9","172.16.20.9","TCP","13098","0.003875657","5004  >  39686 [PSH, ACK] Seq=69869 Ack=137 Win=43520 Len=13032 TSval=2165677707 TSecr=3655659095 [TCP segment of a reassembled PDU]"
"42","109.310955409","172.16.10.9","172.16.20.9","TCP","7306","0.012411998","5004  >  39686 [PSH, ACK] Seq=82901 Ack=137 Win=43520 Len=7240 TSval=2165677730 TSecr=3655659118 [TCP segment of a reassembled PDU]"
"44","109.318291604","172.16.10.9","172.16.20.9","TCP","11650","0.007312584","5004  >  39686 [PSH, ACK] Seq=90141 Ack=137 Win=43520 Len=11584 TSval=2165677730 TSecr=3655659118 [TCP segment of a reassembled PDU]"
"46","109.334060619","172.16.10.9","172.16.20.9","TCP","8754","0.015744703","5004  >  39686 [PSH, ACK] Seq=101725 Ack=137 Win=43520 Len=8688 TSval=2165677747 TSecr=3655659135 [TCP segment of a reassembled PDU]"
"48","109.342299563","172.16.10.9","172.16.20.9","TCP","1514","0.008215217","5004  >  39686 [ACK] Seq=110413 Ack=137 Win=43520 Len=1448 TSval=2165677770 TSecr=3655659158 [TCP segment of a reassembled PDU]"
"50","109.345335237","172.16.10.9","172.16.20.9","TCP","1514","0.002815796","5004  >  39686 [ACK] Seq=111861 Ack=137 Win=43520 Len=1448 TSval=2165677770 TSecr=3655659158 [TCP segment of a reassembled PDU]"
"52","109.345826641","172.16.10.9","172.16.20.9","TCP","2420","0.000089326","5004  >  39686 [PSH, ACK] Seq=113309 Ack=137 Win=43520 Len=2354 TSval=2165677770 TSecr=3655659158 [TCP segment of a reassembled PDU]"
"54","109.462456240","172.16.10.9","172.16.20.9","TCP","1574","0.116622752","5004  >  39686 [PSH, ACK] Seq=115663 Ack=137 Win=43520 Len=1508 TSval=2165677898 TSecr=3655659170 [TCP segment of a reassembled PDU]"
"56","109.462659792","172.16.10.9","172.16.20.9","TCP","10066","0.000182999","5004  >  39686 [PSH, ACK] Seq=117171 Ack=137 Win=43520 Len=10000 TSval=2165677899 TSecr=3655659286 [TCP segment of a reassembled PDU]"
"58","109.473169993","172.16.10.9","172.16.20.9","TCP","10066","0.010503383","5004  >  39686 [PSH, ACK] Seq=127171 Ack=137 Win=43520 Len=10000 TSval=2165677899 TSecr=3655659287 [TCP segment of a reassembled PDU]"
"60","109.488335226","172.16.10.9","172.16.20.9","TCP","4742","0.015138503","5004  >  39686 [PSH, ACK] Seq=137171 Ack=137 Win=43520 Len=4676 TSval=2165677909 TSecr=3655659297 [TCP segment of a reassembled PDU]"
"62","109.509117490","172.16.10.9","172.16.20.9","TCP","10066","0.020759993","5004  >  39686 [PSH, ACK] Seq=141847 Ack=137 Win=43520 Len=10000 TSval=2165677945 TSecr=3655659312 [TCP segment of a reassembled PDU]"
"64","109.521774275","172.16.10.9","172.16.20.9","TCP","5858","0.011677427","5004  >  39686 [PSH, ACK] Seq=151847 Ack=137 Win=43520 Len=5792 TSval=2165677945 TSecr=3655659312 [TCP segment of a reassembled PDU]"
"66","109.526522740","172.16.10.9","172.16.20.9","TCP","462","0.004726440","5004  >  39686 [PSH, ACK] Seq=157639 Ack=137 Win=43520 Len=396 TSval=2165677946 TSecr=3655659334 [TCP segment of a reassembled PDU]"
"68","109.719411913","172.16.10.9","172.16.20.9","TCP","4906","0.192857882","5004  >  39686 [PSH, ACK] Seq=158035 Ack=137 Win=43520 Len=4840 TSval=2165678155 TSecr=3655659350 [TCP segment of a reassembled PDU]"
"70","109.781462713","172.16.10.9","172.16.20.9","TCP","6375","0.061831716","5004  >  39686 [PSH, ACK] Seq=162875 Ack=137 Win=43520 Len=6309 TSval=2165678217 TSecr=3655659543 [TCP segment of a reassembled PDU]"
"72","109.786868823","172.16.10.9","172.16.20.9","TCP","8754","0.005161830","5004  >  39686 [PSH, ACK] Seq=169184 Ack=137 Win=43520 Len=8688 TSval=2165678218 TSecr=3655659543 [TCP segment of a reassembled PDU]"
"74","109.796012378","172.16.10.9","172.16.20.9","TCP","8754","0.008926766","5004  >  39686 [PSH, ACK] Seq=177872 Ack=137 Win=43520 Len=8688 TSval=2165678218 TSecr=3655659543 [TCP segment of a reassembled PDU]"
"76","109.805840233","172.16.10.9","172.16.20.9","TCP","547","0.009799343","5004  >  39686 [PSH, ACK] Seq=186560 Ack=137 Win=43520 Len=481 TSval=2165678223 TSecr=3655659606 [TCP segment of a reassembled PDU]"
"78","109.962649046","172.16.10.9","172.16.20.9","TCP","10066","0.156561680","5004  >  39686 [PSH, ACK] Seq=187041 Ack=137 Win=43520 Len=10000 TSval=2165678398 TSecr=3655659630 [TCP segment of a reassembled PDU]"
"80","109.971942258","172.16.10.9","172.16.20.9","TCP","7306","0.009084212","5004  >  39686 [PSH, ACK] Seq=197041 Ack=137 Win=43520 Len=7240 TSval=2165678399 TSecr=3655659630 [TCP segment of a reassembled PDU]"
"82","109.981461876","172.16.10.9","172.16.20.9","TCP","510","0.009493448","5004  >  39686 [PSH, ACK] Seq=204281 Ack=137 Win=43520 Len=444 TSval=2165678399 TSecr=3655659787 [TCP segment of a reassembled PDU]"
"84","110.005673740","172.16.10.9","172.16.20.9","TCP","3161","0.023289911","5004  >  39686 [PSH, ACK] Seq=204725 Ack=137 Win=43520 Len=3095 TSval=2165678441 TSecr=3655659806 [TCP segment of a reassembled PDU]"
"86","110.007589710","172.16.10.9","172.16.20.9","TCP","8754","0.001142903","5004  >  39686 [PSH, ACK] Seq=207820 Ack=137 Win=43520 Len=8688 TSval=2165678442 TSecr=3655659806 [TCP segment of a reassembled PDU]"
"88","110.016898275","172.16.10.9","172.16.20.9","TCP","1378","0.009080787","5004  >  39686 [PSH, ACK] Seq=216508 Ack=137 Win=43520 Len=1312 TSval=2165678442 TSecr=3655659830 [TCP segment of a reassembled PDU]"
"90","110.018522089","172.16.10.9","172.16.20.9","TCP","2962","0.001378336","5004  >  39686 [PSH, ACK] Seq=217820 Ack=137 Win=43520 Len=2896 TSval=2165678444 TSecr=3655659830 [TCP segment of a reassembled PDU]"
"92","110.021562477","172.16.10.9","172.16.20.9","TCP","1105","0.002795414","5004  >  39686 [PSH, ACK] Seq=220716 Ack=137 Win=43520 Len=1039 TSval=2165678453 TSecr=3655659841 [TCP segment of a reassembled PDU]"
"94","110.218348512","172.16.10.9","172.16.20.9","TCP","5169","0.196745501","5004  >  39686 [PSH, ACK] Seq=221755 Ack=137 Win=43520 Len=5103 TSval=2165678654 TSecr=3655659845 [TCP segment of a reassembled PDU]"
"96","110.281929418","172.16.10.9","172.16.20.9","TCP","10066","0.063467782","5004  >  39686 [PSH, ACK] Seq=226858 Ack=137 Win=43520 Len=10000 TSval=2165678718 TSecr=3655660042 [TCP segment of a reassembled PDU]"
"98","110.294648871","172.16.10.9","172.16.20.9","TCP","7992","0.012620299","5004  >  39686 [PSH, ACK] Seq=236858 Ack=137 Win=43520 Len=7926 TSval=2165678718 TSecr=3655660106 [TCP segment of a reassembled PDU]"
